Order_ID,Date,Product,Item_ID,Price,Customer_ID,Email
79,16/2/2024,Charging Plug,30513,4.99,10000006,Frank@gmail.com
80,16/2/2024,Charging Plug,30513,4.99,10000007,Gina@gmail.com
81,16/2/2024,B6 Monitor,12953,100,10000008,Hannah@gmail.com
82,17/2/2024,Ethernet Cable,74267,7.99,10000001,Adam@gmail.com
83,17/2/2024,Charging Plug,30513,4.99,10000002,Bob@gmail.com
84,17/2/2024,Charging Plug,30513,4.99,10000003,Carl@gmail.com
85,17/2/2024,Charging Plug,30513,4.99,10000004,Dave@gmail.com
86,17/2/2024,Rechargable Battery,95132,12.99,10000005,Erica@gmail.com
87,17/2/2024,Charging Plug,30513,4.99,10000006,Frank@gmail.com
88,17/2/2024,Charging Cable,11604,4.99,10000007,Gina@gmail.com
89,17/2/2024,Rechargable Battery,95132,12.99,10000008,Hannah@gmail.com
90,17/2/2024,Ethernet Cable,74267,7.99,10000009,Iris@gmail.com
91,17/2/2024,Cable Ties,27384,3.99,10000010,James@gmail.com
92,17/2/2024,Charging Plug,30513,4.99,10000011,Karoline@gmail.com
93,17/2/2024,Charging Plug,30513,4.99,10000012,Lena@gmail.com
94,17/2/2024,Ethernet Cable,74267,7.99,10000013,Mira@gmail.com
95,17/2/2024,Charging Plug,30513,4.99,10000014,Nathan@gmail.com
96,17/2/2024,XS-1 Server,99041,259.85,10000015,Oliver@gmail.com
97,17/2/2024,32GB USB,40014,9.99,10000016,Patricia@gmail.com
98,17/2/2024,B6 Monitor,12953,100,10000017,Quinn@gmail.com
99,17/2/2024,B6 Monitor,12953,100,10000018,Rachel@gmail.com
